title,artist,grade
참교육,채용택 / 한가람,9.83
쇼미더럭키짱!,박태준 / 김성모,9.39
뷰티풀 군바리,설이 / 윤성원,9.81
신의 탑,SIU,9.91
퀘스트지상주의,박태준 만화회사,9.67
윈드브레이커,조용석,9.85
장씨세가 호위...,김인호 / 조형근,9.94
소녀의 세계,모랑지,9.94
백수세끼,치즈,9.84
팔이피플,매미 / 희세,9.92
앵무살수,김성진,9.98
잔불의 기사,환댕,9.95
만렙돌파,"성불예정,홍실 / 미노",9.42
리턴 투 플레...,엄키 / 세혼 / 인덱스,9.90
아마도,마파체,9.78
요리GO,HO9,9.94
매지컬 급식,웡웡이,9.86
파운더,임상윤 / 만두인,9.80
평범한 8반,영파카,9.84
더블클릭,"김장훈,박수봉 / 박수봉",9.90
똑 닮은 딸,이담,9.98
히어로메이커,빤쓰,9.96
칼가는 소녀,오리,9.97
미니어처 생활...,엘렌 심,9.96
물어보는 사이,성은,9.96
결혼생활 그림...,은꼼지,9.96
파견체,곽백수,9.80
아는 여자애,허니비,9.97
꼬리잡기,바쉬,9.94
신군,규남,9.91
황제와의 하룻밤,예영 / INUS / 차승...,9.93
결혼공략,율무,9.84
꿈의 기업,문지현,9.97
이별 후 사내...,미믹 / 이달리,9.94
"아, 쫌 참으...",새우초밥 / daybook,9.97
오빠집이 비어서,이서희 / 태소영,9.83
이제야 연애,딘돈 / 서혜은,9.96
입술이 예쁜 ...,고도 / 플라비,9.90
와이키키 뱀파...,요니요니,9.97
제왕: 빛과 ...,"김남규 / 애풍,김한석",9.85
"또다시, 계약...",제제 / 설우희,9.80
디나운스,윤예,9.81
말박왕,용사,9.90
싸이코 리벤지,기송 / 넴가,9.35
야생천사 보호...,루시드,9.98
홍천기,LICO / 정은궐,9.95
바퀴,나우원 / 오른손,9.89
사랑의 헌옷수...,고잉,9.96
원작은 완결난...,도래 / 원더드림,9.98
원하는 건 너...,"달콤J,박성실 / sage",9.63
왕따협상,아이아리,9.69
레지나레나 -...,곽나나 / 설동원 / 김영지,9.90
찌질하지만 로...,상수,8.43
최후의 금빛아이,알깨 / 새몽,9.94
별을 쫓는 소...,HYBE,8.70
달로 만든 아이,온윤,9.97
나만의 고막남친,비로 / 팀 노란 / 이혜율,9.89
모스크바의 여명,타이밍 / 이샨오 / 황장미,9.94
마지막 지수,에리카 / 채나라,9.94
모락모락 왕세...,원해,9.89
중독연구소,김택기,9.85
그림자 신부,이새인 / 덥머,9.88
개밥 먹는 남자,김태순,9.93
악녀 18세 ...,홍혜,9.95
역주행!,김현아,9.92
사막에 핀 달,선지,9.80
헬로맨스,이공주 / 하얀독수리,9.87
남주서치,잔비,9.91
결백한 사람은...,서각,9.86
오로지 오로라,홍달,9.89
슈퍼스타 천대리,박경원 / 이재국 / Do8,9.74
순정말고 순종,슈안,9.97
기사님을 지켜줘,달봉,9.83
